# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
VCE749	VAMP3 (-255003)
VCE182464	GALNT5 (-83887)
VCE182465	GALNT5 (-83662)
VCE182784|VCE182785	TANC1 (+2320), WDSUB1 (+315600)
VCE183036|VCE183037|VCE183038	TANK (-456443), RBMS1 (-210060)
VCE183144|VCE183145|VCE183146|VCE183147	TANK (-59748)
VCE183587|VCE183588|VCE183589|VCE183590	KCNH7 (-370173)
VCE183760|VCE183761	FIGN (+141572)
VCE183771|VCE183772|VCE183773	FIGN (+122328)
VCE183817	FIGN (+46313)
VCE183961|VCE183962|VCE183963	FIGN (-251798)
VCE183989|VCE183990|VCE183991|VCE183992	FIGN (-279689)
VCE184117|VCE184118|VCE184119	GRB14 (+267891)
VCE184145|VCE184146|VCE184147	GRB14 (+232056)
VCE184161|VCE184162	GRB14 (+192288)
VCE184840	MYO3B (-3563)
VCE185037|VCE185038|VCE185039|VCE185040	TLK1 (-184487), METTL8 (+88766)
VCE185438|VCE185439	CDCA7 (-218114), ENSG00000091436 (+60788)
VCE185789	GPR155 (+42212), SCRN3 (+49123)
VCE185962|VCE185963|VCE185964	ATP5G3 (-186471)
VCE185968	ATP5G3 (-190929)
VCE185969	ATP5G3 (-191201)
VCE186068|VCE186069|VCE186070	ATP5G3 (-421626), KIAA1715 (+396112)
VCE186101	KIAA1715 (+314480)
VCE186142|VCE186143|VCE186144	KIAA1715 (+195111)
VCE186451|VCE186452|VCE186453|VCE186454	MTX2 (+320600)
VCE186542|VCE186543	HNRNPA3 (-498926), MTX2 (+444218)
VCE186547|VCE186548|VCE186549	HNRNPA3 (-484856), MTX2 (+458288)
VCE186556|VCE186557	HNRNPA3 (-468818), MTX2 (+474326)
VCE186563	HNRNPA3 (-460901), MTX2 (+482243)
VCE186599	HNRNPA3 (-405705)
VCE186647|VCE186648|VCE186649|VCE186650	HNRNPA3 (-306857)
VCE186763	HNRNPA3 (-53558)
VCE187383|VCE187384	ITGA4 (-350888), UBE2E3 (+125731)
VCE187388|VCE187389	ITGA4 (-348475), UBE2E3 (+128144)
VCE187450	ITGA4 (-79318), UBE2E3 (+397301)
VCE187451|VCE187452|VCE187453	ITGA4 (-78678), UBE2E3 (+397941)
VCE187490|VCE187491|VCE187492|VCE187493	CERKL (+41613), ITGA4 (+158168)
VCE187882	ZNF804A (+465756)
VCE188449|VCE188450|VCE188451	SDPR (+6127), NABP1 (+162596)
VCE188647|VCE188648	NONE
VCE189320|VCE189321	NONE
VCE189855	TYW5 (-212758), SPATS2L (-137657)
VCE190118|VCE190119	FZD7 (+5120), SUMO1 (+198901)
VCE190364|VCE190365	ICOS (+84492)
VCE190532|VCE190533	PARD3B (-231355), ICOS (+377897)
VCE190599|VCE190600|VCE190601	PARD3B (-59140)
VCE190612	PARD3B (-35205)
VCE190634|VCE190635	PARD3B (+45400)
VCE190666	PARD3B (+197340)
VCE190697|VCE190698	PARD3B (+314515)
VCE190805	NONE
VCE190811	NONE
VCE190946|VCE190947	NRP2 (-261762)
VCE190983|VCE190984	NRP2 (-199153)
VCE191153	NRP2 (+66131), INO80D (+337551)
VCE191426	KLF7 (+11780), CPO (+214611)
VCE191449	CREB1 (-339838), KLF7 (-24109)
VCE191459|VCE191460|VCE191461	CREB1 (-323567), KLF7 (-40380)
VCE191462|VCE191463	CREB1 (-315767), KLF7 (-48180)
VCE191464|VCE191465	CREB1 (-314381), KLF7 (-49566)
VCE191466	CREB1 (-313163), KLF7 (-50784)
VCE191467|VCE191468|VCE191469	CREB1 (-310320), KLF7 (-53627)
VCE191470	CREB1 (-309729), KLF7 (-54218)
VCE191471	CREB1 (-309402), KLF7 (-54545)
VCE191472|VCE191473|VCE191474	CREB1 (-306808), KLF7 (-57139)
VCE191678	FZD5 (-181898), PLEKHM3 (+74099)
VCE191823	MAP2 (-145755)
VCE191844|VCE191845|VCE191846	UNC80 (-84160), MAP2 (+108412)
VCE191864|VCE191865|VCE191866	RPE (-32076), UNC80 (+198496)
VCE192496	IKZF2 (-78415), SPAG16 (-55640)
VCE192556	VWC2L (-355074)
VCE192643	VWC2L (+103815), BARD1 (+294824)
VCE192647	VWC2L (+127920), BARD1 (+270719)
VCE192838	FN1 (-433172), MREG (+144279)
VCE192982	TNP1 (-204366)
VCE193066|VCE193067|VCE193068|VCE193069	TNS1 (+464392)
VCE193125|VCE193126	TNS1 (+200759)
VCE193143	TNS1 (+24118)
VCE193236	IHH (-5216), NHEJ1 (+95170)
VCE193442|VCE193443|VCE193444|VCE193445|VCE193446|VCE193447	SLC4A3 (+381645)
VCE193660|VCE193661	NONE
VCE193872|VCE193873|VCE193874	EPHA4 (+211714)
VCE194362|VCE194363	SERPINE2 (+18053), MRPL44 (+63347)
VCE194437	DOCK10 (-180493), NYAP2 (-177712)
VCE194981	GIGYF2 (-50249), EFHD1 (+13869)
VCE195121|VCE195122|VCE195123	GBX2 (+209579), AGAP1 (+464682)
VCE195840	PROKR2 (-99660), GPCPD1 (+194634)
VCE195987	FERMT1 (-434863), BMP2 (-209257)
VCE196194|VCE196195	BMP2 (+421430)
VCE196796|VCE196797	JAG1 (-399341)
VCE196885	NONE
VCE197120|VCE197121	SPTLC3 (-132269)
VCE197174|VCE197175	ISM1 (+84340), TASP1 (+332829)
VCE197345|VCE197346|VCE197347	FLRT3 (+2265), MACROD2 (+339974)
VCE197642|VCE197643	NONE
VCE197988|VCE197989|VCE197990|VCE197991	SLC24A3 (+73177)
VCE198096	CRNKL1 (-220942), INSM1 (-91133)
VCE199027|VCE199028	POFUT1 (-3489), PLAGL2 (+3400)
VCE199098	BPIFB6 (-2328)
VCE199594	BLCAP (-87800), CTNNBL1 (-78275)
VCE199599	BLCAP (-103027), CTNNBL1 (-63048)
VCE199692|VCE199693|VCE199694	VSTM2L (-4263)
VCE199696	VSTM2L (+2778), TTI1 (+127579)
VCE199988	NONE
VCE200050	NONE
VCE200140	MAFB (+447390)
VCE200165|VCE200166|VCE200167	MAFB (+353339)
VCE200205	MAFB (+154378)
VCE200285	TOP1 (-194818), MAFB (-144760)
VCE200370	EMILIN3 (-27094), CHD6 (+224572)
VCE200391	CHD6 (-37806)
VCE200485	CHD6 (-481870)
VCE200570|VCE200571|VCE200572	NONE
VCE200575|VCE200576	NONE
VCE200579|VCE200580|VCE200581	NONE
VCE200628	PTPRT (+454163)
VCE200646	PTPRT (+343531)
VCE200647	PTPRT (+334915)
VCE200702	PTPRT (+103112)
VCE200995	MMP9 (-3558)
VCE201044	CDH22 (+22753), CD40 (+110670)
VCE201050|VCE201051	CDH22 (+8281), CD40 (+125142)
VCE201052|VCE201053|VCE201054|VCE201055	CDH22 (+5381), CD40 (+128042)
VCE201122|VCE201123|VCE201124|VCE201125	EYA2 (-77575), SLC2A10 (+107562)
VCE201416|VCE201417	ADNP (+1633), BCAS4 (+134686)
VCE201586|VCE201587	ZFP64 (-177161)
VCE201595|VCE201596	ZFP64 (-218583)
VCE202082|VCE202083	DOK5 (+412438)
VCE202110	NONE
VCE203753|VCE203754	SAMSN1 (-364639), NRIP1 (+116959)
VCE203775	NRIP1 (-12983)
VCE203776	NRIP1 (-13208)
VCE204946	APP (-192702), CYYR1 (+209929)
VCE205142	N6AMT1 (+175188)
VCE206116	PCP4 (+210988)
VCE206138|VCE206139|VCE206140|VCE206141	DSCAM (+299010)
VCE210760|VCE210761	CHL1 (+325991)
VCE212069	FGD5 (-5491), C3orf20 (+138372)
VCE212165|VCE212166	OXNAD1 (+93015), RFTN1 (+155492)
VCE212441	TBC1D5 (-222393)
VCE212729|VCE212730|VCE212731	SATB1 (-32422)
VCE212790|VCE212791|VCE212792|VCE212793|VCE212794	SATB1 (-194804)
VCE212810|VCE212811|VCE212812	KCNH8 (-489125), SATB1 (-234756)
VCE212855	KCNH8 (-370091), SATB1 (-353790)
VCE213313	NONE
VCE213851|VCE213852	LRRC3B (-4455)
VCE213899	SLC4A7 (-257570), EOMES (+8174)
VCE213928	CMC1 (-355661), EOMES (-163436)
VCE214602	PDCD6IP (+134041)
VCE214644|VCE214645	PDCD6IP (+270146)
VCE214855	ARPP21 (-277774)
VCE214873|VCE214874|VCE214875	ARPP21 (-37515)
VCE214877|VCE214878|VCE214879	ARPP21 (-3821)
VCE214881	ARPP21 (+14366)
VCE214896|VCE214897|VCE214898|VCE214899	ARPP21 (+145161)
VCE214937	STAC (-83701)
VCE214955|VCE214956|VCE214957	DCLK3 (+144290), STAC (+215226)
VCE215034|VCE215035|VCE215036	C3orf35 (-44655), GOLGA4 (+111255)
VCE215062	VILL (-68580), CTDSPL (+57305)
VCE215907|VCE215908|VCE215909|VCE215910	TMEM115 (-11104), CACNA2D2 (+132709)
VCE216953|VCE216954|VCE216955	ERC2 (+337919)
VCE217408|VCE217409	NONE
VCE217530|VCE217531	NONE
VCE217537|VCE217538|VCE217539	NONE
VCE217655|VCE217656	FHIT (+449245)
VCE217673|VCE217674	FHIT (+383180)
VCE217687|VCE217688|VCE217689	FHIT (+334739)
VCE217722	FHIT (+197584)
VCE217833|VCE217834	PTPRG (-237128), FHIT (-73324)
VCE218104	FEZF2 (+7896)
VCE218129|VCE218130	FEZF2 (-31853), CADPS (+470011)
VCE218203	FEZF2 (-107202), CADPS (+394662)
VCE218221|VCE218222	FEZF2 (-128987), CADPS (+372877)
VCE218329	SYNPR (-243830), CADPS (-158915)
VCE218467	PRICKLE2 (-337044), ADAMTS9 (+125501)
VCE218678	LRIG1 (+99402), SLC25A26 (+332669)
VCE218703	LRIG1 (+8211), SLC25A26 (+423860)
VCE218924|VCE218925	FAM19A1 (-269409), SUCLG2 (-78916)
VCE219025|VCE219026	FAM19A1 (+145888)
VCE219087|VCE219088	FAM19A4 (+406295)
VCE219117|VCE219118	FAM19A4 (+232441)
VCE219302	MITF (+326864)
VCE219397	MITF (+455057)
VCE219575|VCE219576	NONE
VCE219640|VCE219641	FOXP1 (+402427)
VCE219736|VCE219737	FOXP1 (+250835)
VCE219897	FOXP1 (+25419)
VCE220905|VCE220906|VCE220907|VCE220908	ROBO2 (+214837)
VCE221759|VCE221760	ROBO1 (+482510)
VCE222228|VCE222229|VCE222230	GBE1 (-171802)
VCE222775	CADM2 (-140224)
VCE223319|VCE223320|VCE223321	EPHA3 (-188481)
VCE223437|VCE223438	EPHA3 (+285676)
VCE223444	EPHA3 (+312683)
VCE223901|VCE223902|VCE223903	EPHA6 (+334451)
VCE224172	COL8A1 (+7705), FILIP1L (+468333)
VCE224178|VCE224179	COL8A1 (+18271), FILIP1L (+457767)
VCE225040|VCE225041|VCE225042	CD47 (+209404), BBX (+358634)
VCE225043|VCE225044	CD47 (+201264), BBX (+366774)
VCE225087	CD47 (+48814)
VCE225319|VCE225320|VCE225321	PVRL3 (-355005)
VCE225681|VCE225682|VCE225683	ZBTB20 (+20287), TIGIT (+72252)
VCE225952|VCE225953	ZBTB20 (-304975)
VCE226159	NONE
VCE226373|VCE226374	GAP43 (+335225), LSAMP (+486796)
VCE226709|VCE226710	NONE
VCE226872|VCE226873	NONE
VCE226891|VCE226892	NONE
VCE226921	NONE
VCE227145|VCE227146	IGSF11 (+334749)
VCE227176|VCE227177	IGSF11 (+262339)
VCE227679|VCE227680	ADCY5 (+24875), SEC22A (+216561)
VCE227682|VCE227683	ADCY5 (+5619), SEC22A (+235817)
VCE227684	ADCY5 (-8233), PTPLB (+127194)
VCE228120|VCE228121	RUVBL1 (+22690), SEC61A1 (+48765)
VCE228123	RUVBL1 (+15712), SEC61A1 (+55743)
VCE228124	RUVBL1 (-20492), EEFSEC (-9138)
VCE228767	EPHB1 (+310578)
VCE228830|VCE228831	NONE
VCE228978	PPP2R3A (-94712)
VCE229151	SOX14 (-499825), IL20RB (+307047)
VCE229242|VCE229243|VCE229244	SOX14 (-114553)
VCE229277|VCE229278|VCE229279	CLDN18 (-201862), SOX14 (+43401)
VCE229319|VCE229320|VCE229321|VCE229322	CLDN18 (-89382), SOX14 (+155881)
VCE230504|VCE230505|VCE230506	ZIC1 (+252012)
VCE231140	P2RY1 (-428935), TMEM14E (-65022)
VCE231588|VCE231589	VEPH1 (-251258), SHOX2 (+351475)
VCE231675|VCE231676|VCE231677|VCE231678	VEPH1 (-410664), SHOX2 (+192069)
VCE231960	IQCJ-SCHIP1 (+158072)
VCE231961|VCE231962|VCE231963|VCE231964|VCE231965	IQCJ-SCHIP1 (+167241)
VCE234531	TBL1XR1 (+264064)
VCE234558	TBL1XR1 (-52256)
VCE234764|VCE234765	KCNMB2 (-253439)
VCE235496|VCE235497|VCE235498|VCE235499	NONE
VCE235874|VCE235875|VCE235876	VPS8 (-131493), EPHB3 (+118866)
VCE235934|VCE235935	EHHADH (+95643), VPS8 (+346312)
VCE236334|VCE236335	LPP (+75043)
VCE236418	LPP (+429394)
VCE236477	TPRG1 (-317966)
VCE236698	LEPREL1 (-137905), CLDN1 (+63641)
VCE236897	FGF12 (-1275)
VCE236968	HRASLS (-145545)
VCE236987|VCE236988|VCE236989	HRASLS (-72042)
VCE238507	CLNK (-412831), HS3ST1 (+332069)
VCE238600|VCE238601|VCE238602|VCE238603	NONE
VCE238691|VCE238692|VCE238693	RAB28 (+428516)
VCE238849|VCE238850	BOD1L1 (-101000)
VCE238992	C1QTNF7 (-192671), CPEB2 (+144591)
VCE239381	NONE
VCE239531	NONE
VCE239871	GPR125 (-153980)
VCE239897	GPR125 (-224267)
VCE239933	GPR125 (-326907)
VCE240052|VCE240053	NONE
VCE240168	PPARGC1A (+329275)
VCE240356|VCE240357	PPARGC1A (-69977)
VCE240476|VCE240477|VCE240478|VCE240479	PPARGC1A (-245821), DHX15 (+448652)
VCE240766|VCE240767	LGI2 (+82956), SOD3 (+152460)
VCE241027	STIM2 (+452759)
VCE241401|VCE241402|VCE241403|VCE241404	PCDH7 (-1310)
VCE241460|VCE241461|VCE241462	PCDH7 (+142630)
VCE241487	PCDH7 (+262380)
VCE241995	NONE
VCE242126|VCE242127	NONE
VCE242143|VCE242144	RELL1 (+397929)
VCE242416	APBB2 (+11503), NSUN7 (+453132)
VCE242690|VCE242691	SHISA3 (+44979), ATP8A1 (+214287)
VCE242692	SHISA3 (+53956), ATP8A1 (+205310)
VCE242693	SHISA3 (+54379), ATP8A1 (+204887)
VCE242694|VCE242695|VCE242696	SHISA3 (+55243), ATP8A1 (+204023)
VCE242697	SHISA3 (+59027), ATP8A1 (+200239)
VCE242698|VCE242699	SHISA3 (+61169), ATP8A1 (+198097)
VCE242700	SHISA3 (+72463), ATP8A1 (+186803)
VCE242763	GRXCR1 (+411444)
VCE243265	DCUN1D4 (-190)
VCE243548	KIT (+189462), KDR (+278209)
VCE243788|VCE243789	IGFBP7 (-130912)
VCE243830	IGFBP7 (-253581)
VCE243831	IGFBP7 (-257090)
VCE243863|VCE243864	IGFBP7 (-352605)
VCE244266	LPHN3 (+96361)
VCE244367|VCE244368	NONE
VCE244708	EPHA5 (+80721)
VCE244826|VCE244827	NONE
VCE245398	AREG (-26583), EREG (+53408)
VCE245689	ANXA3 (-319449), FRAS1 (+174500)
VCE245827	PAQR3 (-328430), NAA11 (+58182)
VCE245988|VCE245989|VCE245990	ANTXR2 (+113985)
VCE246072|VCE246073	FGF5 (+40920)
VCE246550	AGPAT9 (+243571)
VCE246811	NKX6-1 (+57178)
VCE246929	MAPK10 (-200536), PTPN13 (-33716)
VCE247020	DMP1 (-18391), DSPP (+23387)
VCE247241	NONE
VCE247688|VCE247689|VCE247690	BMPR1B (+150705), UNC5C (+346822)
VCE248012	NONE
VCE248177	RAP1GDS1 (+142706), TSPAN5 (+254405)
VCE248197	TSPAN5 (+28978), RAP1GDS1 (+368133)
VCE248804|VCE248805	TBCK (-90077)
VCE249681|VCE249682|VCE249683	NONE
VCE251726	SCLT1 (-315776)
VCE252210	PCDH10 (-2355)
VCE252725	PCDH18 (-230402), SLC7A11 (+479472)
VCE252933	CCRN4L (-225510)
VCE253116	MAML3 (+234984), MGST2 (+253432)
VCE253234	UCP1 (-3789)
VCE253276	IL15 (-148249), ZNF330 (+267465)
VCE253340	INPP4B (+239666)
VCE253548|VCE253549	HHIP (-270232), GYPA (-235037)
VCE253605	GYPA (-422430), HHIP (-82839)
VCE253606|VCE253607	GYPA (-423678), HHIP (-81591)
VCE254012|VCE254013|VCE254014	POU4F2 (-87279), SLC10A7 (-29681)
VCE254036	POU4F2 (+7193)
VCE254074	POU4F2 (+140894)
VCE254544	DCLK2 (-383965)
VCE254663|VCE254664|VCE254665	MAB21L2 (-265971), DCLK2 (+236926)
VCE254717|VCE254718|VCE254719|VCE254720|VCE254721|VCE254722|VCE254723	MAB21L2 (-142444), DCLK2 (+360453)
VCE254824|VCE254825|VCE254826|VCE254827	MAB21L2 (+214362), LRBA (+219210)
VCE254851|VCE254852|VCE254853	LRBA (+78091), MAB21L2 (+355481)
VCE254854	LRBA (+65387), MAB21L2 (+368185)
VCE254874	PRSS48 (-28177), SH3D19 (-22486)
VCE255509	FAM198B (+229701)
VCE255644	NONE
VCE255679|VCE255680	NONE
VCE256882|VCE256883	CEP44 (-110465)
VCE256967	GPM6A (+303197)
VCE257121|VCE257122	AGA (-173010)
VCE257184|VCE257185	NONE
VCE257567	NONE
VCE257603|VCE257604	NONE
VCE257614|VCE257615|VCE257616|VCE257617	NONE
VCE257653	NONE
VCE257782|VCE257783|VCE257784	NONE
VCE257891|VCE257892|VCE257893|VCE257894	TENM3 (-318143)
VCE257972|VCE257973	TENM3 (-160332)
VCE258023|VCE258024	TENM3 (-55636)
VCE258113|VCE258114|VCE258115	TENM3 (+157683)
VCE258262	DCTD (+20515)
VCE258539|VCE258540	FAT1 (-80712)
VCE258591|VCE258592|VCE258593|VCE258594	FAT1 (-444523)
VCE258697|VCE258698	TRIML1 (+89040)
VCE260222|VCE260223|VCE260224	DAP (-404446)
VCE260362	TRIO (+3700)
VCE260914	CDH12 (+454080)
VCE261124|VCE261125|VCE261126	CDH10 (+19898)
VCE261193	CDH10 (-443666)
VCE261798	CDH6 (-168893)
VCE261953|VCE261954	CDH6 (+87860), DROSHA (+250451)
VCE262607	EGFLAM (-319266), GDNF (-103316)
VCE262726	LIFR (-1688)
VCE262870	PTGER4 (-150384)
VCE263486	ISL1 (-425102), PARP8 (+291047)
VCE263532|VCE263533|VCE263534	ISL1 (-323677), PARP8 (+392472)
VCE265132|VCE265133|VCE265134	C5orf64 (+45282)
VCE265142|VCE265143	C5orf64 (+64257)
VCE265149	C5orf64 (+98355)
VCE265249|VCE265250|VCE265251	KIF2A (-362280), C5orf64 (+306363)
VCE265596|VCE265597|VCE265598|VCE265599|VCE265600|VCE265601|VCE265602	CWC27 (+298332), ADAMTS6 (+414658)
VCE265845	MAST4 (+124315), CD180 (+476123)
VCE265859	MAST4 (+196719), CD180 (+403719)
VCE265865|VCE265866|VCE265867	MAST4 (+199623), CD180 (+400815)
VCE265885|VCE265886|VCE265887|VCE265888	MAST4 (+246418), CD180 (+354020)
VCE266110|VCE266111	PIK3R1 (-144510)
VCE266244	SLC30A5 (-385492), PIK3R1 (+492433)
VCE267017	NONE
VCE267107	ENC1 (+9044)
VCE267498	TBCA (-196800), AP3B1 (+321594)
VCE267670	LHFPL2 (-259538), ARSB (+77422)
VCE268597	CCNH (-23376)
VCE268621|VCE268622|VCE268623	CCNH (-128131)
VCE269196	MEF2C (-107859)
VCE269334|VCE269335|VCE269336	MEF2C (-386775)
VCE269450	NONE
VCE269451	NONE
VCE269452	NONE
VCE269460|VCE269461	NONE
VCE269556	CETN3 (+472430)
VCE269560|VCE269561|VCE269562	CETN3 (+463023)
VCE269605	CETN3 (+314415)
VCE270047|VCE270048|VCE270049|VCE270050	NONE
VCE270119|VCE270120	NONE
VCE270123|VCE270124|VCE270125|VCE270126	NONE
VCE270375|VCE270376	NONE
VCE270379	NONE
VCE270552|VCE270553	NR2F1 (-262189)
VCE270941	ANKRD32 (-312939), FAM172A (-193773)
VCE271076|VCE271077|VCE271078	ANKRD32 (+121799)
VCE271372	LNPEP (+75289), RIOK2 (+172507)
VCE271417	RIOK2 (-83506)
VCE272134|VCE272135|VCE272136|VCE272137	NUDT12 (-356065)
VCE272589|VCE272590	NONE
VCE272677|VCE272678|VCE272679|VCE272680|VCE272681|VCE272682	EFNA5 (+328342)
VCE272839|VCE272840	EFNA5 (+79911)
VCE273048|VCE273049|VCE273050|VCE273051	EFNA5 (-244403)
VCE273262|VCE273263	FER (+69796)
VCE273338|VCE273339|VCE273340	PJA2 (-152659), MAN2A1 (-126713)
VCE274128	NONE
VCE274250	FAM170A (+162790)
VCE274253	FAM170A (+203727)
VCE274254	FAM170A (+203985)
VCE274840	NONE
VCE274899|VCE274900|VCE274901|VCE274902|VCE274903|VCE274904	ZNF608 (+444377)
VCE275052|VCE275053|VCE275054|VCE275055	ZNF608 (+12039)
VCE275117	ZNF608 (-78110)
VCE275123	ZNF608 (-94146)
VCE275298|VCE275299|VCE275300	NONE
VCE275392|VCE275393|VCE275394	NONE
VCE275689|VCE275690|VCE275691	C5orf63 (-167265), MEGF10 (-50102)
VCE276324|VCE276325	FSTL4 (+136956), HSPA4 (+423645)
VCE276457	TCF7 (+23791), SKP1 (+38536)
VCE276578|VCE276579	PITX1 (-31571), H2AFY (+333753)
VCE276589|VCE276590|VCE276591	PITX1 (-69616), H2AFY (+295708)
VCE276609|VCE276610|VCE276611	PITX1 (-115697), H2AFY (+249627)
VCE276618	PITX1 (-129181), H2AFY (+236143)
VCE276645|VCE276646	PITX1 (-156405), H2AFY (+208919)
VCE276960	SPOCK1 (+89010)
VCE277190|VCE277191	LRRTM2 (-31187), SIL1 (+291921)
VCE277310|VCE277311	SIL1 (-70100), MATR3 (-25150)
VCE277452|VCE277453	PSD2 (+69539), NRG2 (+177934)
VCE277472|VCE277473	NRG2 (+118781), PSD2 (+128692)
VCE277487	NRG2 (+84774), PSD2 (+162699)
VCE277684|VCE277685|VCE277686|VCE277687|VCE277688	ARAP3 (-13833), PCDH1 (+182354)
VCE277722|VCE277723	ARAP3 (-81559), PCDH1 (+114628)
VCE278363	SH3RF2 (+40734), LARS (+204049)
VCE278417	TCERG1 (-78628), POU4F3 (+29660)
VCE278670	ADRB2 (+3263), SH3TC2 (+233268)
VCE278717|VCE278718	IL17B (-138941), CSNK1A1 (+32747)
VCE278742|VCE278743	PPARGC1B (+10927), PDE6A (+203555)
VCE278745	PPARGC1B (+27345), PDE6A (+187137)
VCE278746	PPARGC1B (+52389), PDE6A (+162093)
VCE278748	PPARGC1B (+70509), PDE6A (+143973)
VCE279016	NMUR2 (-495284)
VCE279100|VCE279101	GRIA1 (+215723), FAM114A2 (+331024)
VCE279520	SGCD (+107769)
VCE280012|VCE280013|VCE280014|VCE280015|VCE280016	EBF1 (+378099)
VCE280400	ADRA1B (-355875), IL12B (-230020)
VCE280509|VCE280510	PTTG1 (+129282), ATP10B (+301020)
VCE280548|VCE280549	ATP10B (-179392)
VCE280760|VCE280761|VCE280762	MAT2B (+82871)
VCE280955|VCE280956	NONE
VCE281067|VCE281068|VCE281069	NONE
VCE282066|VCE282067|VCE282068|VCE282069|VCE282070|VCE282071|VCE282072	TENM2 (+105825)
VCE282128	TENM2 (+184463)
VCE282131	TENM2 (+187982)
VCE282134	TENM2 (+199061)
VCE282135	TENM2 (+200596)
VCE282136|VCE282137	TENM2 (+206881)
VCE282145	TENM2 (+212790)
VCE282381|VCE282382|VCE282383|VCE282384	WWC1 (-414461)
VCE283243|VCE283244|VCE283245|VCE283246|VCE283247|VCE283248	C5orf50 (-311398), FGF18 (+54818)
VCE283462	NKX2-5 (-85100), STC2 (+9046)
VCE284936|VCE284937	FOXQ1 (-419262), EXOC2 (-200302)
VCE285046|VCE285047|VCE285048|VCE285049|VCE285050|VCE285051|VCE285052|VCE285053|VCE285054	FOXC1 (+192820), GMDS (+442425)
VCE285083|VCE285084	FOXC1 (+255172), GMDS (+380073)
VCE286114|VCE286115|VCE286116	OFCC1 (-116545), TFAP2A (+359373)
VCE286207|VCE286208|VCE286209	OFCC1 (-446993), TFAP2A (+28925)
VCE286493|VCE286494	CD83 (-126802), RNF182 (+65972)
VCE286604	NONE
VCE286765	JARID2 (+158331), DTNBP1 (+258415)
VCE286774	DTNBP1 (+71297), JARID2 (+345449)
VCE286854|VCE286855	GMPR (+258581), ATXN1 (+264295)
VCE287125	RNF144B (+18422)
VCE287178|VCE287179	RNF144B (+289301)
VCE287238|VCE287239|VCE287240	NONE
VCE287248	NONE
VCE287253|VCE287254|VCE287255	NONE
VCE287351|VCE287352|VCE287353	ID4 (-388957)
VCE287560|VCE287561	CDKAL1 (+32077)
VCE287642|VCE287643	NONE
VCE287685	SOX4 (-402397)
VCE287698	SOX4 (-318769)
VCE287722	SOX4 (-199836)
VCE287743	SOX4 (-91703)
VCE287847	PRL (+198147)
VCE287885|VCE287886|VCE287887	PRL (+29283)
VCE287915|VCE287916	PRL (-101399)
VCE289427	CCDC167 (-37019), MDGA1 (+161049)
VCE289451|VCE289452	CCDC167 (-192765), MDGA1 (+5303)
VCE289468	ZFAND3 (-67060), MDGA1 (-54449)
VCE289539|VCE289540	ZFAND3 (+270826)
VCE289574|VCE289575	BTBD9 (+377272), ZFAND3 (+443153)
VCE289921|VCE289922	LRFN2 (+82061)
VCE289923	LRFN2 (+65936)
VCE289959|VCE289960	LRFN2 (-196885), UNC5CL (+254839)
VCE290219|VCE290220|VCE290221	SRF (-80780), PTK7 (+13705)
VCE290334|VCE290335	TMEM63B (-226412), VEGFA (+129795)
VCE290337|VCE290338	TMEM63B (-200252), VEGFA (+155955)
VCE290670|VCE290671	SUPT3H (-55931)
VCE290825	SUPT3H (-468084), CLIC5 (+234378)
VCE290849	CLIC5 (+187422)
VCE290963	PTCHD4 (+75612), OPN5 (+211038)
VCE290995	PTCHD4 (-260767)
VCE291174	DEFB112 (-446027), TFAP2D (-219150)
VCE291177	DEFB112 (-471889), TFAP2D (-193288)
VCE291194	TFAP2D (-164675)
VCE291328	TFAP2B (+59140)
VCE291403|VCE291404	TFAP2B (+290405)
VCE291685|VCE291686	PKHD1 (+176420)
VCE291698|VCE291699|VCE291700	PKHD1 (+137791)
VCE292720	PHF3 (+291576)
VCE292728	PHF3 (+328202)
VCE292804	NONE
VCE293352|VCE293353	OGFRL1 (-217418), B3GAT2 (-114347)
VCE293368|VCE293369	B3GAT2 (-204920), OGFRL1 (-126845)
VCE293438|VCE293439|VCE293440|VCE293441	RIMS1 (-40298)
VCE293755	COL12A1 (+39054)
VCE293898	HTR1B (+163699)
VCE294195|VCE294196|VCE294197	NONE
VCE294309|VCE294310	IBTK (+387306)
VCE294556|VCE294557|VCE294558	KIAA1009 (-197603), TBX18 (+339281)
VCE294559	KIAA1009 (-198507), TBX18 (+338377)
VCE294662	TBX18 (-44594)
VCE294752|VCE294753|VCE294754|VCE294755|VCE294756|VCE294757	TBX18 (-346740), NT5E (-338832)
VCE295215|VCE295216	CNR1 (-229938)
VCE295258	CNR1 (-462733), RNGTT (+349700)
VCE295448|VCE295449	BACH2 (+188622), GJA10 (+213651)
VCE295519|VCE295520	BACH2 (-31329), MAP3K7 (+258974)
VCE295548	BACH2 (-124544), MAP3K7 (+165759)
VCE295644	MAP3K7 (-132888)
VCE295795|VCE295796	MAP3K7 (-442708)
VCE295921|VCE295922|VCE295923|VCE295924	NONE
VCE296022|VCE296023	NONE
VCE296312|VCE296313|VCE296314|VCE296315	EPHA7 (+235813)
VCE296578	NONE
VCE296636	NONE
VCE297573|VCE297574|VCE297575|VCE297576|VCE297577|VCE297578	FBXL4 (-30107), FAXC (+371622)
VCE297611|VCE297612|VCE297613	FBXL4 (-93628), FAXC (+308101)
