# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
AAGAB	VCE113360 (-57129)
MMP9	VCE200995 (-3558)
MON1B	VCE129438 (-384925), VCE129452|VCE129453 (-304013), VCE129456|VCE129457|VCE129458 (-284835), VCE129477 (-159642)
MOSPD2	VCE366317|VCE366318 (+296713)
MOXD1	VCE302249|VCE302250 (+261118)
MPDZ	VCE347891 (-367109)
MPHOSPH6	VCE130474 (-339534)
MPP7	VCE34408|VCE34409|VCE34410 (+78229), VCE34388 (+221046)
MR1	VCE23996 (+78682)
MREG	VCE192838 (+144279)
MRM1	VCE135573|VCE135574|VCE135575|VCE135576|VCE135577 (+242055)
MRPL44	VCE194362|VCE194363 (+63347)
MRPS23	VCE138964|VCE138965 (+30301)
MRPS28	VCE338279|VCE338280 (+66689)
MRPS9	VCE174579 (-60511)
MSC	VCE336615|VCE336616|VCE336617 (+407843)
MSI2	VCE138774 (+63681), VCE138834 (+212829), VCE138878|VCE138879 (+291995), VCE138880|VCE138881|VCE138882|VCE138883 (+297581), VCE138908 (+348557)
MSRA	VCE329658|VCE329659|VCE329660|VCE329661|VCE329662 (-148286)
MSRB3	VCE72090|VCE72091 (+106417), VCE72182|VCE72183|VCE72184|VCE72185 (+336754)
MTRNR2L5	VCE37176 (+98404)
MTX2	VCE186451|VCE186452|VCE186453|VCE186454 (+320600), VCE186542|VCE186543 (+444218), VCE186547|VCE186548|VCE186549 (+458288), VCE186556|VCE186557 (+474326), VCE186563 (+482243)
MUSK	VCE359689 (-12563)
MVB12B	VCE362440|VCE362441|VCE362442 (-470249), VCE362530 (-302264), VCE362645 (+102678)
MXI1	VCE45108|VCE45109 (-38901)
MYB	VCE302690 (-35784)
MYEF2	VCE110547|VCE110548|VCE110549|VCE110550 (+10288)
MYF5	VCE74098|VCE74099|VCE74100 (-4804)
MYO18A	VCE134482|VCE134483 (+81117), VCE134477|VCE134478 (+90722), VCE134471|VCE134472 (+96456)
MYO3B	VCE184840 (-3563)
MZT1	VCE87089|VCE87090 (+66264), VCE86981|VCE86982|VCE86983 (+219907), VCE86974|VCE86975|VCE86976|VCE86977|VCE86978|VCE86979|VCE86980 (+222628), VCE86938 (+307677), VCE86914|VCE86915 (+362573), VCE86911|VCE86912|VCE86913 (+374087), VCE86896|VCE86897 (+428712)
N4BP1	VCE123563 (-287873)
N6AMT1	VCE205142 (+175188)
NAA11	VCE245827 (+58182)
NABP1	VCE188449|VCE188450|VCE188451 (+162596)
NACA2	VCE139710|VCE139711 (-27877), VCE139656 (+127114)
NARG2	VCE112306|VCE112307 (-120788)
NARS2	VCE56748 (-459632)
NAV3	VCE73755 (+450089)
NBAS	VCE161047|VCE161048 (+455299)
NCAM1	VCE60097|VCE60098|VCE60099 (-20150), VCE60151 (+181929)
NDFIP2	VCE88344 (+318535)
NDUFA4	VCE310276 (+159068)
NEDD1	VCE75965|VCE75966|VCE75967|VCE75968|VCE75969 (+205057), VCE76005|VCE76006 (+303858)
NEGR1	VCE10241|VCE10242 (-493123), VCE10075|VCE10076|VCE10077 (+411925)
NEO1	VCE114269 (-164122)
NEUROD6	VCE314114|VCE314115 (-243428), VCE314112 (-230951), VCE314110|VCE314111 (-223233), VCE314087|VCE314088 (-78877)
NEUROG3	VCE38972|VCE38973 (-4212)
NFE2L3	VCE312816|VCE312817|VCE312818|VCE312819 (-274777)
NFIA	VCE8383 (-384106), VCE8509|VCE8510|VCE8511|VCE8512|VCE8513|VCE8514|VCE8515 (-2076), VCE8786|VCE8787|VCE8788|VCE8789|VCE8790|VCE8791|VCE8792 (+371091)
NFIB	VCE348032 (+255830), VCE348020 (+286220), VCE347997 (+337633), VCE347982|VCE347983|VCE347984 (+373644)
NHEJ1	VCE193236 (+95170)
NHLH2	VCE18140|VCE18141 (-86301)
NHS	VCE366803 (+206431)
NIPAL2	VCE340782 (-47111)
NKRF	VCE383824 (-80849)
NKX2-5	VCE283462 (-85100)
NKX6-1	VCE246811 (+57178)
NKX6-2	VCE48615|VCE48616|VCE48617 (+85004)
NLK	VCE134219 (-85181)
NMUR2	VCE279016 (-495284)
NOG	VCE138638 (+25962), VCE138669 (+105909)
NOS2	VCE134219 (-156476)
NOVA1	VCE93555|VCE93556 (+400537)
NOX3	VCE305028 (-92863)
NPAS3	VCE95110|VCE95111|VCE95112|VCE95113 (-219492), VCE95361 (+300331)
NPS	VCE47765|VCE47766 (-41404)
NPVF	VCE312603 (-9821)
NPY	VCE312467|VCE312468 (-232743)
NR0B1	VCE370001|VCE370002|VCE370003 (-126076), VCE369970|VCE369971 (-23532)
NR2F1	VCE270552|VCE270553 (-262189)
NR4A2	VCE182104|VCE182105 (+167647)
NR4A3	VCE358041|VCE358042|VCE358043 (-366646)
NR5A1	VCE362141|VCE362142 (-153194)
NR6A1	VCE362141|VCE362142 (+110653)
NRBF2	VCE38241 (-305819)
NRG1	VCE332101 (+407158)
NRG2	VCE277487 (+84774), VCE277472|VCE277473 (+118781), VCE277452|VCE277453 (+177934)
NRIP1	VCE203776 (-13208), VCE203775 (-12983), VCE203753|VCE203754 (+116959)
NRP2	VCE190946|VCE190947 (-261762), VCE190983|VCE190984 (-199153), VCE191153 (+66131)
NRXN1	VCE166476 (+1741), VCE166469|VCE166470 (+30953)
NRXN2	VCE55513 (+51793)
NRXN3	VCE102337|VCE102338 (-184031), VCE102384|VCE102385 (-58486)
NSMAF	VCE334512|VCE334513|VCE334514|VCE334515 (-448365)
NSUN7	VCE242416 (+453132)
NT5E	VCE294752|VCE294753|VCE294754|VCE294755|VCE294756|VCE294757 (-338832)
NTF3	VCE65026|VCE65027 (-172606), VCE65040|VCE65041 (-5080), VCE65045|VCE65046 (+8849), VCE65049|VCE65050|VCE65051 (+29098)
NTM	VCE63709|VCE63710 (-311130)
NTN1	VCE132629|VCE132630|VCE132631 (+425478)
NTNG1	VCE17155 (+469205)
NTS	VCE74632|VCE74633 (+274533)
NUDT12	VCE272134|VCE272135|VCE272136|VCE272137 (-356065)
NUDT7	VCE129546|VCE129547 (-106201)
NUFIP1	VCE82417|VCE82418 (+84367)
NXPE2	VCE60596 (+454235)
NXPH1	VCE309800 (+7623), VCE309929 (+276065), VCE309939|VCE309940|VCE309941 (+348205)
NXPH3	VCE137592 (+21806), VCE137602|VCE137603|VCE137604 (+40946)
NYAP2	VCE194437 (-177712)
OFCC1	VCE286207|VCE286208|VCE286209 (-446993), VCE286114|VCE286115|VCE286116 (-116545)
OGFRL1	VCE293352|VCE293353 (-217418), VCE293368|VCE293369 (-126845)
OLFM4	VCE83136|VCE83137 (-143903), VCE83199|VCE83200|VCE83201 (-36681)
OPCML	VCE64127 (-190225)
OPN5	VCE290963 (+211038)
OPRM1	VCE304854 (-458135)
OR1D5	VCE132073 (+84372)
ORC5	VCE322590 (-32590)
OSR1	VCE161841 (-326916), VCE161734 (+32266), VCE161733 (+32491)
OTUD1	VCE33990|VCE33991 (+101587), VCE34023|VCE34024|VCE34025|VCE34026 (+442069)
OTX2	VCE99326 (-338000), VCE99314|VCE99315|VCE99316 (-279502), VCE99278 (-199270), VCE99222|VCE99223|VCE99224|VCE99225|VCE99226 (-93129), VCE99151 (+13524), VCE99107 (+68003)
OXGR1	VCE90400 (+227818)
OXNAD1	VCE212165|VCE212166 (+93015)
P2RY1	VCE231140 (-428935)
PAH	VCE76890 (+368805)
PAK3	VCE382576|VCE382577 (-6161), VCE382593 (+69980)
PAPOLG	VCE168718|VCE168719|VCE168720|VCE168721|VCE168722|VCE168723 (-184737), VCE168765|VCE168766 (-122440)
PAPPA	VCE360315|VCE360316|VCE360317|VCE360318 (+97498), VCE360333 (+129821)
PAPPA-AS1	VCE360333 (+116981), VCE360315|VCE360316|VCE360317|VCE360318 (+149304)
PAPPA2	VCE23281|VCE23282 (+442317), VCE23285 (+452707)
PAQR3	VCE245827 (-328430)
PARD3B	VCE190532|VCE190533 (-231355), VCE190599|VCE190600|VCE190601 (-59140), VCE190612 (-35205), VCE190634|VCE190635 (+45400), VCE190666 (+197340), VCE190697|VCE190698 (+314515)
PARP12	VCE327442|VCE327443 (+148518)
PARP8	VCE263486 (+291047), VCE263532|VCE263533|VCE263534 (+392472)
PAWR	VCE73949 (+325342), VCE73921 (+402273)
PAX2	VCE43627 (-57792)
PAX9	VCE96469 (+1873), VCE96572 (+186757), VCE96609 (+253380)
PBX3	VCE362357|VCE362358 (-31974), VCE362408|VCE362409|VCE362410|VCE362411 (+48925), VCE362440|VCE362441|VCE362442 (+109162), VCE362530 (+277147)
PCBD1	VCE39079|VCE39080 (-38549)
PCBP1	VCE170887 (-51507)
PCCA	VCE90935|VCE90936 (+417843)
PCDH1	VCE277722|VCE277723 (+114628), VCE277684|VCE277685|VCE277686|VCE277687|VCE277688 (+182354)
PCDH10	VCE252210 (-2355)
PCDH17	VCE83998|VCE83999 (+81998)
PCDH18	VCE252725 (-230402)
PCDH7	VCE241401|VCE241402|VCE241403|VCE241404 (-1310), VCE241460|VCE241461|VCE241462 (+142630), VCE241487 (+262380)
PCDH8	VCE83199|VCE83200|VCE83201 (-143438), VCE83136|VCE83137 (-36216)
PCDH9	VCE85844 (-88762), VCE85716|VCE85717|VCE85718 (+235224), VCE85684 (+334388)
PCMTD1	VCE333926|VCE333927|VCE333928 (-396236), VCE333911|VCE333912 (-345594)
PCP4	VCE206116 (+210988)
PCTP	VCE138369|VCE138370|VCE138371|VCE138372 (+66014)
PCYT1B	VCE368491|VCE368492 (+64707), VCE368473 (+120815)
PDCD6IP	VCE214602 (+134041), VCE214644|VCE214645 (+270146)
PDE3A	VCE66829 (-271154)
PDE6A	VCE278748 (+143973), VCE278746 (+162093), VCE278745 (+187137), VCE278742|VCE278743 (+203555)
PDGFD	VCE59288 (-36902)
PDHA1	VCE367236 (-190855), VCE367256 (-87776)
PDK3	VCE368473 (+60965), VCE368491|VCE368492 (+117073)
PDSS2	VCE299126|VCE299127 (+98741)
PDZD8	VCE46499|VCE46500 (-127942)
PEA15	VCE21216|VCE21217 (+40010)
PEBP4	VCE330970|VCE330971 (+23380)
PELI1	VCE169383|VCE169384|VCE169385|VCE169386 (+10398)
PEPD	VCE157387|VCE157388 (-157346), VCE157336|VCE157337 (+88283)
PEX14	VCE1029 (+40403), VCE1138 (+232463)
PEX2	VCE337885 (-457938), VCE337833|VCE337834 (-260799), VCE337685|VCE337686|VCE337687 (+201775)
PHACTR2	VCE304004 (-67160)
PHF2	VCE357293 (+319618), VCE357298|VCE357299 (+335509)
PHF3	VCE292720 (+291576), VCE292728 (+328202)
PHF6	VCE387365|VCE387366 (-359638)
PHTF2	VCE319354|VCE319355 (+321981)
PHYHIPL	VCE37379 (+145541)
PI15	VCE337083|VCE337084|VCE337085 (-367551), VCE337130|VCE337131|VCE337132 (-13795)
PIBF1	VCE87120 (+178663)
PIK3R1	VCE266110|VCE266111 (-144510), VCE266244 (+492433)
PIP4K2A	VCE33856 (+279862), VCE33855 (+286607)
PIPOX	VCE134437|VCE134438 (-14559)
PIRT	VCE132747|VCE132748 (-236195)
PITX1	VCE276645|VCE276646 (-156405), VCE276618 (-129181), VCE276609|VCE276610|VCE276611 (-115697), VCE276589|VCE276590|VCE276591 (-69616), VCE276578|VCE276579 (-31571)
PJA1	VCE375871|VCE375872 (-118806)
PJA2	VCE273338|VCE273339|VCE273340 (-152659)
PKHD1	VCE291698|VCE291699|VCE291700 (+137791), VCE291685|VCE291686 (+176420)
PKIA	VCE338033|VCE338034|VCE338035 (-434492), VCE338051|VCE338052|VCE338053|VCE338054|VCE338055 (-389972)
PKN2	VCE13923|VCE13924 (-392068), VCE13941 (-365460), VCE14083|VCE14084|VCE14085|VCE14086 (-78966)
PKNOX2	VCE62625 (+166168), VCE62650|VCE62651 (+225022)
PLAGL2	VCE199027|VCE199028 (+3400)
PLCB2	VCE109555 (-19420)
PLEK	VCE170745|VCE170746|VCE170747 (-74131)
PLEKHA5	VCE66721 (+102901)
PLEKHA7	VCE50952 (+199189)
PLEKHM3	VCE191678 (+74099)
PLEKHO1	VCE20407|VCE20408 (-69157)
PLXNC1	VCE75587 (+87349)
PMFBP1	VCE128363|VCE128364|VCE128365|VCE128366 (-461596)
PMP22	VCE133238|VCE133239|VCE133240 (+246083)
PNLIPRP3	VCE46326 (-110215)
POFUT1	VCE199027|VCE199028 (-3489)
POLA1	VCE368632|VCE368633|VCE368634 (+182998)
POLL	VCE43884 (+146113), VCE43879|VCE43880 (+161878)
POU3F1	VCE4359|VCE4360|VCE4361 (-249432), VCE4299 (-82672), VCE4271 (-39278)
POU3F3	VCE174579 (+121961)
POU4F1	VCE87995|VCE87996|VCE87997|VCE87998 (+18293), VCE87976|VCE87977 (+61810)
POU4F2	VCE254012|VCE254013|VCE254014 (-87279), VCE254036 (+7193), VCE254074 (+140894)
POU4F3	VCE278417 (+29660)
PPARGC1A	VCE240476|VCE240477|VCE240478|VCE240479 (-245821), VCE240356|VCE240357 (-69977), VCE240168 (+329275)
PPARGC1B	VCE278742|VCE278743 (+10927), VCE278745 (+27345), VCE278746 (+52389), VCE278748 (+70509)
PPFIBP1	VCE68000|VCE68001 (+35570)
PPIF	VCE41170|VCE41171 (-102388)
PPM1A	VCE99727 (-29693)
PPM1E	VCE139107 (+180717)
PPP1R17	VCE314087|VCE314088 (-266944), VCE314110|VCE314111 (-122588), VCE314112 (-114870), VCE314114|VCE314115 (-102393)
PPP1R3A	VCE323788 (-445387)
PPP2R3A	VCE228978 (-94712)
PPP3R1	VCE170745|VCE170746|VCE170747 (-38511)
PPP3R2	VCE358365 (-26698), VCE358363|VCE358364 (-23914)
PRDM1	VCE298812 (-305622), VCE298817|VCE298818 (-288039), VCE298819|VCE298820 (-287299), VCE298846|VCE298847 (-209918)
PRDM12	VCE362987|VCE362988 (-36176)
PREP	VCE298846|VCE298847 (-473318), VCE298819|VCE298820 (-395937), VCE298817|VCE298818 (-395197), VCE298812 (-377614)
PRICKLE1	VCE69109 (-34557)
PRICKLE2	VCE218467 (-337044)
PRKCA	VCE140358 (+237356)
PRKCE	VCE165769 (+53939)
PRKCH	VCE100036 (+10511)
PRKD1	VCE94424 (+435685)
PRL	VCE287915|VCE287916 (-101399), VCE287885|VCE287886|VCE287887 (+29283), VCE287847 (+198147)
PRLHR	VCE46852|VCE46853 (+122806)
PROKR2	VCE195840 (-99660)
PROX1	VCE27675 (+136763), VCE27676 (+137138), VCE27677|VCE27678|VCE27679 (+148852), VCE27680|VCE27681|VCE27682|VCE27683 (+154734), VCE27685|VCE27686|VCE27687 (+167202)
PRPF39	VCE97555|VCE97556|VCE97557 (-309573)
PRPSAP1	VCE141401|VCE141402 (+89262)
PRSS48	VCE254874 (-28177)
PSAT1	VCE355149|VCE355150|VCE355151|VCE355152|VCE355153 (+54154), VCE355167|VCE355168 (+100512), VCE355172|VCE355173 (+141116), VCE355177 (+143652), VCE355196 (+229093)
PSD2	VCE277452|VCE277453 (+69539), VCE277472|VCE277473 (+128692), VCE277487 (+162699)
PSIP1	VCE348488|VCE348489|VCE348490 (-332808)
PSMB2	VCE3807 (-87635), VCE3777|VCE3778|VCE3779|VCE3780 (+18165)
PSMB5	VCE93023 (+13551)
PSMD7	VCE129082|VCE129083|VCE129084 (-213136), VCE129087|VCE129088|VCE129089|VCE129090|VCE129091 (-195240)
PTBP2	VCE15601|VCE15602|VCE15603|VCE15604 (+83708)
PTBP3	VCE359821 (+68015)
PTCH1	VCE357578|VCE357579 (-1138)
PTCH2	VCE5541|VCE5542|VCE5543|VCE5544 (-121464)
PTCHD1	VCE368176 (-192164), VCE368183|VCE368184|VCE368185|VCE368186 (-158407), VCE368195|VCE368196|VCE368197|VCE368198|VCE368199|VCE368200 (-105573)
PTCHD4	VCE290995 (-260767), VCE290963 (+75612)
PTDSS1	VCE340557 (+203465)
PTER	VCE33134 (-337874), VCE33135|VCE33136|VCE33137|VCE33138|VCE33139 (-331825)
PTGER4	VCE262870 (-150384)
PTGFRN	VCE18261 (+5828)
PTK7	VCE290219|VCE290220|VCE290221 (+13705)
PTPLAD2	VCE349842|VCE349843 (+78753)
PTPLB	VCE227684 (+127194)
PTPN13	VCE246929 (-33716)
PTPN14	VCE27718|VCE27719|VCE27720|VCE27721 (+233671)
PTPN4	VCE176054 (-43209)
PTPRD	VCE347380|VCE347381 (+185806)
PTPRG	VCE217833|VCE217834 (-237128)
PTPRK	VCE301801 (+73874), VCE301744|VCE301745 (+420653)
PTPRM	VCE143809|VCE143810 (-38908)
PTPRT	VCE200702 (+103112), VCE200647 (+334915), VCE200646 (+343531), VCE200628 (+454163)
PTPRU	VCE3026|VCE3027 (+114452)
PTTG1	VCE280509|VCE280510 (+129282)
PURG	VCE331884|VCE331885|VCE331886|VCE331887 (+4918), VCE331876|VCE331877|VCE331878|VCE331879|VCE331880 (+36619)
PVRL3	VCE225319|VCE225320|VCE225321 (-355005)
QPCT	VCE164423 (+226521)
R3HCC1L	VCE43165|VCE43166 (-91545), VCE43185 (-41393)
R3HDM2	VCE71112|VCE71113 (+169086)
RAB11FIP2	VCE46852|VCE46853 (-426240), VCE46638|VCE46639 (+142743)
RAB11FIP4	VCE134825 (+177807)
RAB28	VCE238691|VCE238692|VCE238693 (+428516)
RAB30	VCE57299|VCE57300 (+1296)
RAB8B	VCE112849 (+55148)
RABGAP1L	VCE22870 (+268017)
RAD23B	VCE359230|VCE359231|VCE359232 (-168637)
RAD52	VCE64600|VCE64601|VCE64602|VCE64603 (+68456)
RAI2	VCE367032|VCE367033|VCE367034|VCE367035|VCE367036 (-283776), VCE366882|VCE366883|VCE366884|VCE366885 (+64758)
RALGPS1	VCE362800|VCE362801 (+185385)
RALYL	VCE338674|VCE338675|VCE338676 (-142307)
RAP1GAP2	VCE132073 (+182797)
RAP1GDS1	VCE248177 (+142706), VCE248197 (+368133)
RAPGEF1	VCE363113|VCE363114|VCE363115|VCE363116 (-319704)
RARA	VCE136240|VCE136241|VCE136242|VCE136243 (-1966)
RASGRP1	VCE109409 (-358309), VCE109382 (-104429)
RASL12	VCE113005|VCE113006 (+7175)
RBBP8	VCE144840 (-241643), VCE144882|VCE144883 (-76638), VCE144890|VCE144891 (-49816), VCE144893|VCE144894 (-34157), VCE144900 (-19870), VCE144901 (-18998), VCE144911 (+153357)
RBFOX1	VCE119986 (-238460)
RBKS	VCE163408|VCE163409|VCE163410 (-347905)
RBL2	VCE124825|VCE124826 (-348366)
RBM43	VCE181416|VCE181417|VCE181418|VCE181419 (+228320)
RBMS1	VCE183036|VCE183037|VCE183038 (-210060)
RDH14	VCE161464|VCE161465|VCE161466 (+127693)
REEP3	VCE38411 (+230711), VCE38425 (+337379)
RELL1	VCE242143|VCE242144 (+397929)
RELN	VCE322541|VCE322542 (+76681), VCE322505 (+228650), VCE322448|VCE322449 (+455486)
REP15	VCE68000|VCE68001 (-136719)
REV1	VCE173687|VCE173688 (-409385)
RFTN1	VCE212165|VCE212166 (+155492)
RFX3	VCE346374|VCE346375|VCE346376 (-269779)
RGS1	VCE25041 (-58751)
RGS18	VCE24997 (+45915)
RGS21	VCE24997 (-112620), VCE25041 (+199984)
RHBDL3	VCE134922 (-14977)
RHOBTB1	VCE37552|VCE37553 (-98406)
RHOT1	VCE134922 (+108733)
RIMS1	VCE293438|VCE293439|VCE293440|VCE293441 (-40298)
RIOK2	VCE271417 (-83506), VCE271372 (+172507)
RIT2	VCE149053 (+225979)
RND3	VCE181373|VCE181374 (-269270)
RNF144B	VCE287125 (+18422), VCE287178|VCE287179 (+289301)
RNF152	VCE152039|VCE152040 (+434862)
RNF157	VCE141401|VCE141402 (-24514)
RNF165	VCE149653 (+77778)
RNF182	VCE286493|VCE286494 (+65972)
RNF220	VCE5371|VCE5372 (+31408), VCE5373|VCE5374 (+31833), VCE5375|VCE5376 (+32374), VCE5473|VCE5474 (+236411), VCE5478|VCE5479 (+241224)
RNFT2	VCE78464|VCE78465 (+70453)
RNGTT	VCE295258 (+349700)
ROBO1	VCE221759|VCE221760 (+482510)
ROBO2	VCE220905|VCE220906|VCE220907|VCE220908 (+214837)
RORA	VCE112513 (-494105), VCE112498|VCE112499 (-460305), VCE112402 (-187793), VCE112392|VCE112393 (-161484), VCE112327 (-24440), VCE112306|VCE112307 (+27530)
RP2	VCE373323|VCE373324 (-29332)
RPA1	VCE131841 (+155665), VCE131842 (+159340)
RPE	VCE191864|VCE191865|VCE191866 (-32076)
RPL10L	VCE97750|VCE97751 (+180732)
RPL38	VCE141273|VCE141274 (-428493), VCE141282|VCE141283 (-360521), VCE141318|VCE141319|VCE141320 (-161628), VCE141336 (-69980)
RPLP1	VCE113810|VCE113811|VCE113812 (+251104), VCE113847 (+412833), VCE113850 (+423889)
RPRD1A	VCE146978 (+178485)
RPS12	VCE302368|VCE302369|VCE302370|VCE302371|VCE302372 (+150537)
RPS24	VCE40917 (+185262)
RPS6KA3	VCE367467|VCE367468 (-65927)
RRAGC	VCE4493|VCE4494|VCE4495 (+132094), VCE4475 (+165511), VCE4467|VCE4468 (+189939), VCE4459|VCE4460 (+221564)
RRAS2	VCE50169|VCE50170 (+304827)
RRP15	VCE28677 (-97301)
RTKN2	VCE38064|VCE38065|VCE38066|VCE38067|VCE38068|VCE38069|VCE38070 (+186877)
RTN1	VCE99685 (+99455)
RTN3	VCE55430 (+40322)
RTN4RL1	VCE131842 (+35560), VCE131841 (+39235)
RUVBL1	VCE228124 (-20492), VCE228123 (+15712), VCE228120|VCE228121 (+22690)
RWDD1	VCE300363 (-17725)
RYR3	VCE107635 (+336565)
S100G	VCE366542 (-170550)
SALL1	VCE124199 (-402725), VCE124054|VCE124055 (+3808)
SAMSN1	VCE203753|VCE203754 (-364639)
SATB1	VCE212855 (-353790), VCE212810|VCE212811|VCE212812 (-234756), VCE212790|VCE212791|VCE212792|VCE212793|VCE212794 (-194804), VCE212729|VCE212730|VCE212731 (-32422)
SBK1	VCE122080 (-36816)
SCEL	VCE87786 (+193077)
SCLT1	VCE251726 (-315776)
SCMH1	VCE4818 (+115497)
SCML1	VCE366803 (-155615), VCE366882|VCE366883|VCE366884|VCE366885 (+59110)
SCML2	VCE367032|VCE367033|VCE367034|VCE367035|VCE367036 (+209614)
SCRN3	VCE185789 (+49123)
SDC2	VCE340557 (-28171)
SDK2	VCE141336 (-489584), VCE141318|VCE141319|VCE141320 (-397936), VCE141282|VCE141283 (-199043), VCE141273|VCE141274 (-131071), VCE141233 (+240545)
SDPR	VCE188449|VCE188450|VCE188451 (+6127)
SEC22A	VCE227679|VCE227680 (+216561), VCE227682|VCE227683 (+235817)
SEC23A	VCE97012|VCE97013 (+152166), VCE97001|VCE97002|VCE97003 (+205615), VCE96961|VCE96962 (+434188)
SEC61A1	VCE228120|VCE228121 (+48765), VCE228123 (+55743)
SEC61B	VCE358041|VCE358042|VCE358043 (+237780)
SEMA3A	VCE319954 (-284328)
SEMA3D	VCE320059 (+53009)
SEMA6D	VCE110324|VCE110325 (-371830), VCE110341|VCE110342 (-323693), VCE110374|VCE110375 (-216184), VCE110406 (-133971), VCE110452|VCE110453 (+6085), VCE110490 (+143152), VCE110531 (+313691)
SENP1	VCE69692|VCE69693 (+55638)
SEPN1	VCE2475 (-104024)
SEPT6	VCE383824 (+6638)
SERP2	VCE82368|VCE82369|VCE82370 (+165343)
SERPINB12	VCE152265 (-9231)
SERPINB5	VCE152265 (+70168)
SERPINE2	VCE194362|VCE194363 (+18053)
SETBP1	VCE149432|VCE149433 (+419886)
SEZ6	VCE134437|VCE134438 (-22043)
SFN	VCE2667 (+9446)
SGCD	VCE279520 (+107769)
SGCZ	VCE330231 (+155568)
SH2D1A	VCE384928|VCE384929|VCE384930 (+153861), VCE385027 (+349709)
SH3D19	VCE254874 (-22486)
SH3RF2	VCE278363 (+40734)
SH3TC2	VCE278670 (+233268)
SHFM1	VCE321710|VCE321711 (+61875)
SHISA2	VCE80563 (+105179)
SHISA3	VCE242690|VCE242691 (+44979), VCE242692 (+53956), VCE242693 (+54379), VCE242694|VCE242695|VCE242696 (+55243), VCE242697 (+59027), VCE242698|VCE242699 (+61169), VCE242700 (+72463)
SHISA6	VCE132747|VCE132748 (-166623)
SHOX2	VCE231675|VCE231676|VCE231677|VCE231678 (+192069), VCE231588|VCE231589 (+351475)
SIL1	VCE277310|VCE277311 (-70100), VCE277190|VCE277191 (+291921)
SIM1	VCE298004|VCE298005 (-240206)
SIX2	VCE165654 (-248353)
SIX3	VCE165483|VCE165484 (-177690)
SKAP1	VCE137234 (+203652)
SKAP2	VCE313120 (-46127), VCE313076 (+74741), VCE312889|VCE312890 (+486500)
SKIDA1	VCE33679|VCE33680 (+17873)
SKOR1	VCE113452 (-238689), VCE113480 (-209152), VCE113519|VCE113520|VCE113521 (-98920)
SKOR2	VCE149839 (-312077), VCE149813 (-229608), VCE149725 (+18445)
SKP1	VCE276457 (+38536)
SLC10A7	VCE254012|VCE254013|VCE254014 (-29681)
SLC13A5	VCE132328 (+39085)
SLC14A2	VCE149557|VCE149558 (-149983)
SLC15A5	VCE66093|VCE66094|VCE66095 (+28543), VCE66062 (+101956), VCE66046 (+140627)
SLC16A7	VCE71519 (+19399)
SLC16A9	VCE37379 (+387946)
SLC18A3	VCE36721 (-4235)
SLC22A12	VCE55513 (+80585)
SLC22A15	VCE18140|VCE18141 (-46280), VCE18158 (+135156)
SLC24A3	VCE197988|VCE197989|VCE197990|VCE197991 (+73177)
SLC24A5	VCE110452|VCE110453 (-396398), VCE110490 (-259331), VCE110531 (-88792), VCE110547|VCE110548|VCE110549|VCE110550 (+47257)
SLC25A13	VCE321710|VCE321711 (-325869), VCE321551 (+153759)
SLC25A21	VCE96609 (+257621), VCE96572 (+324244)
SLC25A26	VCE218678 (+332669), VCE218703 (+423860)
SLC26A4	VCE322921 (-59941)
SLC26A5	VCE322541|VCE322542 (-466658), VCE322505 (-314689), VCE322448|VCE322449 (-87853)
SLC2A10	VCE201122|VCE201123|VCE201124|VCE201125 (+107562)
SLC30A10	VCE28972|VCE28973|VCE28974 (+432469)
SLC30A5	VCE266244 (-385492)
SLC30A8	VCE343476 (+130795)
SLC39A13	VCE54756 (-575)
SLC41A2	VCE77144|VCE77145 (+265784)
SLC4A3	VCE193442|VCE193443|VCE193444|VCE193445|VCE193446|VCE193447 (+381645)
SLC4A7	VCE213899 (-257570)
SLC50A1	VCE20798|VCE20799 (-6538)
SLC51B	VCE113005|VCE113006 (+15567)
SLC6A17	VCE17359 (-16772)
SLC7A11	VCE252725 (+479472)
SLC9A7	VCE373323|VCE373324 (-48553)
SLCO1B3	VCE66909 (-111431)
SLCO1C1	VCE66909 (+3830)
SLCO2B1	VCE56341|VCE56342 (+63666)
SLFNL1	VCE4818 (-22698)
SLITRK1	VCE88858|VCE88859 (-292193)
SLITRK4	VCE389355|VCE389356|VCE389357 (-20309)
SLITRK5	VCE89109 (+206290)
SMAD2	VCE149944|VCE149945 (-232994), VCE149839 (+369881), VCE149813 (+452350)
SMAD7	VCE150089 (-23405)
SMARCA2	VCE346179|VCE346180|VCE346181|VCE346182|VCE346183 (+138452)
SMPX	VCE367846 (-40729)
SMYD2	VCE27675 (-156527), VCE27676 (-156152), VCE27677|VCE27678|VCE27679 (-144438), VCE27680|VCE27681|VCE27682|VCE27683 (-138556), VCE27685|VCE27686|VCE27687 (-126088), VCE27718|VCE27719|VCE27720|VCE27721 (+36319)
SMYD3	VCE31099 (+399548)
SNAI2	VCE333784 (+105142)
SNAPC1	VCE100095 (+135185)
SND1	VCE325771|VCE325772 (+112657)
SNX10	VCE312889|VCE312890 (+86319), VCE313076 (+498078)
SNX11	VCE137234 (+118980)
SNX19	VCE63587|VCE63588 (-304837), VCE63555 (-184811)
